Tom wandelt snel. 	 Tom walks quickly.
Tom is schuldig. 	 Tom is guilty.
Tom zei dat Mary erg veel honger heeft. 	 Tom said Mary is very hungry.
Zowel Tom als Maria hebben nieuwe schoenen nodig. 	 Tom and Mary both need new shoes.
Hij is heel geleerd. 	 He is very learned.
Wie e-mailen jullie? 	 Who are you emailing?
Ik vroeg me af wat Tom wou. 	 I wondered what Tom wanted.
Kunnen jullie ons beschermen? 	 Can you protect us?
Wat wekte jullie? 	 What woke you up?
Katten hebben negen levens. 	 Cats have nine lives.
Ik woon nu niet in Australië. 	 I don't live in Australia now.
Rookt u sigaren? 	 Do you smoke cigars?
We zijn vandaag thuis. 	 We are at home today.
Je bent nooit te oud om te leren. 	 It's never too late to learn.
Toen ik nog op de middelbare school zat, stond ik elke morgen om 6 uur op. 	 Back in high school, I got up at 6 a.m. every morning.
Ik ben aan het dansen. 	 I'm dancing.
Ze klaagde hem aan. 	 She sued him.
Er zijn zes mensen, inclusief hem. 	 There are six people including him.
Ze praatten allemaal. 	 They all talked.
Tom heeft een persoonlijke lijfwacht. 	 Tom has a personal bodyguard.
Ken je dit liedje? 	 Do you know this song?
Iemand roept je. 	 Someone is calling you.
Leeuwen zijn sterker dan wolven. 	 Lions are stronger than wolves.
Dit is mogelijk geen echte diamant. 	 This may not be a real diamond.
Ik ken je zoon. 	 I know your son.
Ik wil een wandeling maken. 	 I want to take a walk.
We zijn klaar met onderhandelen. 	 We're done negotiating.
Wat een afschuwelijk weer! 	 What awful weather!
Hiervoor betaal ik niet. 	 I'm not paying for this.
Ik brak een nagel. 	 I broke a nail.
Maria heeft lang blond haar. 	 Mary has long blonde hair.
Laten we dankbaar zijn voor alles wat we hebben. 	 Let's be thankful for everything we have.
Volgens mij is mijn Duits niet erg goed. 	 I think my German isn't very good.
Hij ontkende dat hij haar ontmoet had. 	 He denied having met her.
Hij heeft meer dan genoeg geld op de bank staan. 	 He has plenty of money in the bank.
Voor zover ik weet is dit de nieuwste editie. 	 As far as I know, this is the latest edition.
Verboden het gras te betreden. 	 Keep off the grass.
Het is rattenvlees. 	 It's rat meat.
Dat is goed genoeg. 	 That's good enough.
Verstaat u Frans? 	 Do you understand French?
Uw boek ligt op tafel. 	 Your book is on the table.
Jij begrijpt me. 	 You understand me.
Veel dakloze mensen kunnen zich geen gezond voedsel veroorloven. 	 Many homeless people can't afford healthy food.
Ze hebben me lang laten wachten. 	 I was made to wait for a long time.
Ga je met de bus naar huis? 	 Are you going home by bus?
Wanneer hebben jullie voor het laatst een hamer gebruikt? 	 When was the last time you used a hammer?
Ik ben later dan gewoonlijk gearriveerd. 	 I arrived later than usual.
Weet jij hoe je moet skiën? 	 Do you know how to ski?
Was je oprecht? 	 Were you sincere?
Mensen die kinderen pijn doen, verdienen geen genade. 	 People who hurt children do not deserve mercy.
Ik ben graag alleen. 	 I like being alone.
Deze film heeft mij ontroerd. 	 I was touched by this movie.
Is dit uw wijn? 	 Is this your wine?
Ik heb niets toe te voegen aan de conversatie. 	 I have nothing to add to the conversation.
Denk je dat? 	 Do you think so?
Ik wil niet dat er iets met je gebeurt. 	 I wouldn't want anything to happen to you.
We zullen dit nodig hebben om te overleven. 	 We will need this to survive.
Tom woont hier niet in de buurt. 	 Tom doesn't live around here.
Tom heeft me iets gegeven dat ik niet wil. 	 Tom has given me something I don't want.
Tom is een wiskunde-nerd. 	 Tom is a math geek.
Moderne schepen hebben maar een kleine bemanning nodig. 	 Modern ships only need a small crew.
Vooruit met de geit! 	 Get a move on.
Waar is uw kleinzoon? 	 Where's your grandson?
Ze dreven de spot met onze inspanningen. 	 They scoffed at our efforts.
Hoe doe ik deze uit? 	 How do I turn this off?
Ik lees geen boeken. 	 I do not read books.
Het restaurant is vol. 	 The restaurant is full.
Briljant! 	 Wonderful!
Centimeter voor centimeter waadden we het koude water in. 	 We waded into the cold water inch by inch.
Iedereen weet van Tom. 	 Everyone knows about Tom.
Het is nu te donker om tennis te spelen. 	 It's too dark to play tennis now.
Tom trok zijn zwemkleding aan. 	 Tom put on his swimsuit.
Je kon geen ster aan de hemel zien. 	 Not a single star could be seen in the sky.
Dit is geen suiker. 	 This isn't sugar.
Mijn overhemd is oranje. 	 My shirt is orange.
Het is koud buiten. Doe je jas aan. 	 It is cold outdoors. Put on your coat.
Tom heeft al drie kopjes koffie gedronken. 	 Tom has already drunk three cups of coffee.
Ik heb de bloemen water gegeven. 	 I watered the flowers.
Tom is jong en naïef. 	 Tom is young and naive.
Wie heeft het overleefd? 	 Who survived?
Wie is uw lievelingsschilder? 	 Who's your favorite painter?
Gisteren heeft hij een brief geschreven. 	 He wrote a letter yesterday.
Waarom ben je terug? 	 Why are you back?
Laten we het daarbij laten voor nu. 	 Let's leave it at that for now.
De kat ving een muis. 	 The cat caught a mouse.
Geen enkele van de auto's is van mij. 	 None of the cars are mine.
Tom wist dat niet. 	 Tom didn't know that.
Tom at de chocoladedonut die ik in het hospitaal had gesmokkeld. 	 Tom ate the chocolate donut that I had smuggled into the hospital.
Ik denk niet dat ik in staat zal zijn om je kapotte telefoon te maken. 	 I don't think I'll be able to fix your broken phone.
Ik zou graag met jou naar zee gaan. 	 I'd like to go to the seaside with you.
Ik verveel me dood. 	 I'm bored to death.
Zonder jou ben ik niets. 	 I'm nothing without you.
Ik heb dat verhaal al tientallen keren gehoord. 	 I've heard this story scores of times.
In welk land bent u geboren? 	 What country were you born in?
Ik wist niet dat je allergisch was voor pinda's. 	 I didn't know that you were allergic to peanuts.
Zij spijbelen de hele tijd. 	 They skip school all the time.
Heeft u enig bezwaar? 	 Do you have any objection?
Tom was bang dat hij Mary gekwetst had. 	 Tom was afraid he had hurt Mary's feelings.
Ik wil niet naar Boston gaan. 	 I don't want to go to Boston.
Dat gaat zeker een vlek achterlaten. 	 That's definitely going to leave a stain.
Waarom heeft u de bank rood geschilderd? 	 Why did you paint the bench red?
Ik ben Chinese. 	 I am Chinese.
Ook ik wil komen. 	 I want to come, too.
Ik kan je iets geven tegen de pijn. 	 I can give you something for your pain.
Tom en ik gingen naar dezelfde middelbare school. 	 Tom and I went to the same high school.
Tom heeft de eieren gekookt. 	 Tom boiled the eggs.
Ze zullen een huis voor je bouwen. 	 They'll build you a house.
De boogschutter doodde het hert. 	 The archer killed the deer.
Tom is vermoord in Boston. 	 Tom was killed in Boston.
Ik kan alles weerstaan behalve verleiding. 	 I can resist everything except temptation.
Hij speelde graag honkbal. 	 He enjoyed playing baseball.
Dat is de zijne. 	 That's his.
Ik deed de lamp uit. 	 I turned the lamp off.
Het is jammer dat u niet komt. 	 It's a shame that you're not coming.
Ik weet dat je leraar bent. 	 I know you're a teacher.
Ik hoor gelach. 	 I hear laughing.
Ik ben nog niet getrouwd. 	 I'm not married yet.
Ik beloof het. 	 I promise.
Tom is zelden laat voor school. 	 Tom is seldom late for school.
Ik dacht dat je zei dat je vroeger in Boston woonde. 	 I thought that you said that you used to live in Boston.
Je gaat de problemen van het leven gewoon uit de weg. 	 You're just running away from life's problems.
Mannen moeten werken. 	 Men should work.
Ik besefte niet dat het zo laat was. 	 I didn't realize that it had gotten so late.
De hond blaft. 	 The dog is barking.
Ik zou dankbaar zijn. 	 I'd be grateful.
Zijn antwoord was negatief. 	 His reply was negative.
Hij speelt vaak gitaar. 	 He often plays the guitar.
Ik zou graag hebben dat jullie Tom helpen. 	 I'd like you to help Tom.
Slaap niet in de badkuip. 	 Don't sleep in the bathtub.
Tom probeerde Maria te overtuigen om met hem te gaan dansen. 	 Tom tried to convince Mary to go dance with him.
Ik wou het verdelen. 	 I wanted to share it.
Het is zeer beschadigd. 	 It's badly damaged.
Ik kan autorijden. 	 I can drive a car.
Hij is bang van de zee. 	 He's afraid of the sea.
Ze zijn niet gek. 	 They aren't stupid.
Ik ben nog steeds verward. 	 I'm still confused.
Dit werk moet morgen af zijn. 	 This work must be finished by tomorrow.
Hij is een vriendelijk persoon. 	 He's a kind person.
Hij is mijn beste vriend. 	 He is my best friend.
Het voelt als een sinaasappel. 	 It feels like an orange.
Niemand is te oud om te leren. 	 One is never too old to learn.
Toms huis is vernietigd door de orkaan. 	 Tom's house was destroyed by the hurricane.
Hij beval hen om de gevangenen vrij te laten. 	 He ordered them to release the prisoners.
Het is me hier te rokerig. 	 It's too smoky here for me.
Zij adopteerden de wees. 	 They adopted the orphan.
We hebben Tom geadopteerd toen hij drie was. 	 We adopted Tom when he was three years old.
Tom is zelden laat. 	 Tom is rarely late.
Tom gaf toe dat hij het gedaan heeft. 	 Tom admitted that he did that.
Hij is een typische Japanse man. 	 He's a typical Japanese man.
Tom zei, dat hij wat geld wil lenen. 	 Tom said that he wants to borrow some money.
Geef in het Engels antwoord op de volgende vragen. 	 Answer the following questions in English.
Ze zouden er nu wel moeten zijn. 	 They ought to have arrived there by this time.
Ik heb een vriend die piloot is. 	 I have a friend who's a pilot.
Ik begrijp Toms frustratie. 	 I can understand Tom's frustration.
"Heb je honger?" "Ik heb altijd honger." 	 "Are you hungry?" "I'm always hungry."
Hij weet veel over vlinders. 	 He knows a lot about butterflies.
Tom heeft twee katten. 	 Tom has two cats.
Is er iets veranderd? 	 Has anything changed?
Geef me een tweede kans. 	 Give me a second chance.
Is Tom beter aan het worden? 	 Is Tom getting better?
Hij zal morgen klaar zijn met de klus. 	 He'll finish the job by tomorrow.
U heeft slaap nodig. 	 You need sleep.
Mag ik je een kus geven? 	 Can I kiss you?
Wil je mijn toetje samen delen? 	 Would you like to share my dessert with me?
Weet je nog wat er het afgelopen jaar gebeurde? 	 Do you remember what happened last year?
Hij woont in een dorp. 	 He lives in a village.
Kan je Arabisch lezen? 	 Can you read Arabic?
Dit past niet. 	 This doesn't fit.
Jullie liegen altijd tegen me. 	 You always lie to me.
Zij weet wellicht het antwoord. 	 Maybe she knows the answer.
Ga rechtdoor. 	 Go right ahead.
Wat voor dingen denken jullie dat we moeten kopen? 	 What kind of things do you think we need to buy?
Ik wil rijk overkomen. 	 I want to look rich.
Ik moet naar mijn pen zoeken. 	 I need to search for my pen.
Planten groeien. 	 Plants grow.
Jij bent een vriend van Tom, toch? 	 You're a friend of Tom's, aren't you?
Deze wijn smaakt goed. 	 This wine tastes good.
Tom leeft in het land. 	 Tom lives in the country.
Hij is Engelsman, maar woont in India. 	 He's English, but lives in India.
Ik ben er klaar mee. 	 I'm finished with it.
Ik heb geen idee over wie u het heeft. 	 I have no idea who you're talking about.
Tom gaat proberen dat uit Maria haar hoofd te praten. 	 Tom will try to talk Mary out of it.
Laten we hier stoppen. 	 Let's stop here.
Ze maken speelgoed in deze fabriek. 	 They make toys at this factory.
We hebben meer boeren nodig. 	 We need more farmers.
We leren uit ervaring dat mensen nooit iets leren uit ervaring. 	 We learn from experience that men never learn anything from experience.
Hebben jullie hier familieleden? 	 Do you have relatives here?
Tom is nu in de moestuin. 	 Tom is in the vegetable garden now.
Ik wil dat Tom de keuken schoonmaakt. 	 I want Tom to clean the kitchen.
Tom vertelde me dat hij dat niet meer zou doen. 	 Tom told me that he wouldn't do that anymore.
Tom kwam vroeg thuis. 	 Tom came home early.
Is dat het enige waaraan jullie kunnen denken? 	 Is that all you guys can think about?
Ik gaf op. 	 I gave up.
Jullie kunnen helpen. 	 You can help.
Ben je voor hun beleid? 	 Are you in favor of their policy?
Neem de telefoon op, alsjeblieft. 	 Answer the phone, please.
Men keek tegen hem op als hun leider. 	 He was looked up to as their leader.
Is de universiteitsbibliotheek momenteel open? 	 Is the university's library open now?
Ik voedde mijn hond tweemaal per dag. 	 I used to feed my dog twice a day.
Tom wist dat ik verdrietig was. 	 Tom knew that I was sad.
Kan je dat herhalen, alsjeblieft? 	 Could you please repeat that?
Mijn oma kan vliegen. 	 My grandmother can fly.
Water bevriest bij nul graden Celsius. 	 Water freezes at zero degrees Celsius.
Dat meisje lijkt wel een jongen. 	 That girl looks boyish.
Leg dat boek boven op de andere. 	 Put this book on top of the others.
Jullie zijn gestoord. 	 You're nuts.
Mijn vader is dokter. 	 My father is a doctor.
Geef me iets te drinken. 	 Give me something to drink.
Lincoln is een geweldig persoon. 	 Lincoln is a great person.
We zouden enkele basisregels moeten vaststellen voor we eraan beginnen. 	 We should lay down a few ground rules before we begin.
Vanuit de verte ziet de rots er als een menselijk gezicht uit. 	 Seen from a distance, that rock looks like a human face.
Tom beloofde. 	 Tom promised.
Je moet naar huis. 	 You need to go home.
Laat me niet in de steek zoals de vorige keer. 	 Don't let me down like you did the other day.
Tom heeft een citroenboom in zijn achtertuin. 	 Tom has a lemon tree in his backyard.
Ik vond dat heel moeilijk. 	 I found that very difficult.
Ze zingt graag. 	 She likes to sing.
Heel erg bedankt voor uw cadeau. 	 Thank you very much for your present.
Ik heb twee broers. 	 I have two brothers.
Kun je de dagen van de week in het Frans zeggen? 	 Can you say the days of the week in French?
Hij werd beschuldigd van diefstal. 	 He was accused of theft.
Verkoop je deze lampen? 	 Are you selling these lamps?
Het was maar een droom. 	 It was just a dream.
Ik heb gedroomd. 	 I had a dream.
De kamer is erg vies! 	 The room is very dirty.
Hij weet zeker dat hij komt. 	 He is sure that he will come.
Jokohama is de stad in Japan met de op één na grootste bevolking. 	 Yokohama is the city in Japan with the second largest population.
Je bent te gevoelig voor kritiek. 	 You are too sensitive to criticism.
Dit is een cadeau voor jou. 	 This is a present for you.
We weten wat Tom doormaakt. 	 We know what Tom is going through.
Tom is nog steeds in de keuken. 	 Tom is still in the kitchen.
Wil je met me dansen? 	 Do you want to dance with me?
In deze vijver zaten gewoonlijk heel wat kikkers. 	 There used to be a lot of frogs in this pond.
Vooruit, neem er nog een. 	 Please take another one.
Ik ben ook zenuwachtig. 	 I'm nervous, too.
Wanneer ga je naar school? 	 When do you leave for school?
Tom heeft een krant gekocht en las hem op weg naar het werk in de trein. 	 Tom bought a newspaper and read it on the train on the way to work.
Ik moest een auto huren. 	 I had to rent a car.
Tom gaf toe dat hij stom was geweest. 	 Tom admitted he'd been foolish.
Ik denk aan mijn kinderen. 	 I'm thinking about my children.
Ik wandel graag alleen. 	 I like walking by myself.
Ik heb overal gezocht, maar ik kan het niet vinden. 	 I've looked everywhere, but can't find it.
Dat was de laatste keer dat we dat deden. 	 That was the last time we did that.
